norm_pat;ct_mr;ich_stroke
Capital;Capital;Return
Capital;Capital;Return
Return;Capital;Return
Return;Capital;Return
Return;Capital;Capital
Return;Return;Capital
Return;Capital;Return
Return;Capital;Return
Capital;Capital;Capital
Return;Capital;Capital
Capital;Capital;Capital
Return;Return;Return
Return;Return;Capital
Capital;Capital;Return
Return;Return;Return
Return;Capital;Capital
Return;Capital;Return
Return;Return;Capital
Capital;Return;Return
Capital;Capital;Capital
